,ilce_adi,mahalle_adi,mahalle_uavt,cok_agir_hasarli_bina_sayisi,agir_hasarli_bina_sayisi,orta_hasarli_bina_sayisi,hafif_hasarli_bina_sayisi,can_kaybi_sayisi,agir_yarali_sayisi,hastanede_tedavi_sayisi,hafif_yarali_sayisi,dogalgaz_boru_hasari,icme_suyu_boru_hasari,atik_su_boru_hasari,gecici_barinma,1980_oncesi,1980-2000_arasi,2000_sonrasi,1-4 kat_arasi,5-9 kat_arasi,9-19 kat_arasi,mahalle_nufus,segment
0,ADALAR,BURGAZADA,40139,54,99,256,241,8,6,24,42,0,0,1,398,433.0,214.0,173.0,802.0,18.0,0.0,1455,3
1,ADALAR,HEYBELÝADA,40142,101,175,423,393,25,21,66,113,1,1,2,763,836.0,347.0,212.0,1359.0,36.0,0.0,4158,1
2,ADALAR,KINALIADA,40143,53,97,287,302,5,3,15,27,0,1,1,420,610.0,244.0,158.0,923.0,89.0,0.0,1795,1
3,ADALAR,MADEN,40140,104,192,483,484,22,18,64,113,1,1,2,847,863.0,510.0,308.0,1637.0,44.0,0.0,4349,1
4,ADALAR,NÝZAM,40141,101,180,445,422,16,13,48,83,1,2,2,687,842.0,426.0,217.0,1434.0,51.0,0.0,3150,1
5,ARNAVUTKÖY,ADNAN MENDERES,40490,1,3,21,57,0,0,1,3,0,0,0,89,0.0,244.0,121.0,353.0,12.0,0.0,3996,3
6,ARNAVUTKÖY,ANADOLU,99359,2,13,108,371,0,0,8,26,1,1,1,659,0.0,1360.0,845.0,1647.0,555.0,3.0,33177,0
7,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,40478,1,6,51,199,0,0,2,10,0,1,1,273,0.0,685.0,589.0,797.0,470.0,7.0,18695,3
8,ARNAVUTKÖY,ATATÜRK,40482,1,6,49,129,0,0,2,8,0,0,0,209,0.0,565.0,216.0,754.0,27.0,0.0,7726,3
9,ARNAVUTKÖY,BAKLALI,191981,1,5,23,65,0,0,0,0,0,0,0,26,0.0,332.0,184.0,515.0,1.0,0.0,825,3
10,ARNAVUTKÖY,BALABAN,191983,0,1,7,25,0,0,0,0,0,0,0,7,0.0,242.0,53.0,295.0,0.0,0.0,413,3
11,ARNAVUTKÖY,BOÐAZKÖY ÝSTÝKLAL,40483,2,14,95,249,0,0,3,10,0,1,1,246,90.0,864.0,540.0,1452.0,42.0,0.0,9925,3
12,ARNAVUTKÖY,BOLLUCA,40487,1,6,46,125,0,0,1,5,0,0,0,177,0.0,578.0,185.0,716.0,47.0,0.0,6984,3
13,ARNAVUTKÖY,BOYALIK,191985,1,4,21,63,0,0,0,0,0,0,0,24,0.0,313.0,205.0,514.0,4.0,0.0,674,3
14,ARNAVUTKÖY,ÇÝLÝNGÝR,40494,1,5,28,76,0,0,0,0,0,0,0,38,0.0,315.0,176.0,485.0,6.0,0.0,1072,3
15,ARNAVUTKÖY,DELÝKLÝKAYA,40910,1,7,50,120,0,0,0,2,1,1,1,173,0.0,291.0,279.0,478.0,36.0,56.0,4857,3
16,ARNAVUTKÖY,DURSUNKÖY,40911,1,5,18,45,0,0,0,1,0,0,0,22,0.0,204.0,72.0,276.0,0.0,0.0,464,3
17,ARNAVUTKÖY,DURUSU,40915,0,2,10,30,0,0,0,0,0,0,0,16,0.0,208.0,43.0,251.0,0.0,0.0,792,3
18,ARNAVUTKÖY,FATÝH,40495,1,4,21,59,0,0,0,1,0,0,0,51,0.0,219.0,198.0,406.0,11.0,0.0,2484,3
19,ARNAVUTKÖY,HACIMAÞLI,191975,0,3,16,41,0,0,0,0,0,0,0,20,1.0,137.0,107.0,244.0,1.0,0.0,551,3
20,ARNAVUTKÖY,HADIMKÖY,40913,1,7,63,203,0,0,0,4,1,1,1,387,0.0,418.0,793.0,909.0,229.0,73.0,21598,3
21,ARNAVUTKÖY,HARAÇÇI,40489,2,12,82,230,0,0,0,4,1,1,1,209,0.0,813.0,622.0,1356.0,79.0,0.0,8297,3
22,ARNAVUTKÖY,HASTANE,40912,1,6,45,147,0,0,0,5,0,0,0,148,0.0,434.0,391.0,578.0,237.0,10.0,8205,3
23,ARNAVUTKÖY,HÝCRET,40486,0,3,24,61,0,0,0,2,0,0,0,91,0.0,221.0,113.0,323.0,11.0,0.0,3086,3
24,ARNAVUTKÖY,ÝMRAHOR,40481,3,17,96,255,0,0,2,11,1,1,1,301,0.0,1141.0,471.0,1585.0,27.0,0.0,10052,3
25,ARNAVUTKÖY,ÝSLAMBEY,40479,2,11,88,268,0,0,4,18,1,0,1,395,0.0,1184.0,481.0,1452.0,204.0,9.0,18832,3
26,ARNAVUTKÖY,KARABURUN,191987,0,3,32,112,0,0,0,0,0,0,0,34,0.0,404.0,710.0,1110.0,4.0,0.0,1521,3
27,ARNAVUTKÖY,KARLIBAYIR,40488,2,9,60,186,0,0,1,8,0,0,1,188,0.0,669.0,465.0,944.0,183.0,7.0,8308,3
28,ARNAVUTKÖY,MAREÞAL FEVZÝ ÇAKMAK,40493,1,6,50,141,0,0,0,1,0,1,1,115,0.0,458.0,450.0,881.0,27.0,0.0,4611,3
29,ARNAVUTKÖY,MAVÝGÖL,40485,1,6,53,146,0,0,0,3,0,0,0,146,0.0,420.0,520.0,907.0,33.0,0.0,7412,3
30,ARNAVUTKÖY,MEHMET AKÝF ERSOY,40491,1,4,26,73,0,0,0,3,0,0,1,132,0.0,255.0,218.0,465.0,8.0,0.0,6349,3
31,ARNAVUTKÖY,MUSTAFA KEMAL PAÞA,99358,1,7,53,161,0,0,3,11,0,0,1,254,0.0,707.0,273.0,843.0,137.0,0.0,12585,3
32,ARNAVUTKÖY,NENEHATUN,99357,1,5,43,124,0,0,0,7,0,0,1,180,0.0,561.0,223.0,707.0,77.0,0.0,8344,3
33,ARNAVUTKÖY,ÖMERLÝ,40906,1,7,49,124,0,0,0,3,1,0,0,189,0.0,273.0,329.0,477.0,83.0,42.0,6818,3
34,ARNAVUTKÖY,SAZLIBOSNA,40907,0,5,26,68,0,0,0,1,0,0,0,46,0.0,338.0,55.0,393.0,0.0,0.0,1149,3
35,ARNAVUTKÖY,TAÞOLUK,40492,1,6,44,122,0,0,1,6,0,0,1,120,0.0,607.0,179.0,750.0,36.0,0.0,5816,3
36,ARNAVUTKÖY,TAYAKADIN,191977,3,12,57,162,0,0,0,1,0,0,0,92,0.0,817.0,487.0,1301.0,3.0,0.0,5242,3
37,ARNAVUTKÖY,TERKOS,40914,1,4,19,58,0,0,0,0,0,0,0,22,0.0,428.0,132.0,560.0,0.0,0.0,935,3
